Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Restaurant,Anaheim,1,121 kWh,18 kW,65901.3,356907,$69K,$9.97,$0M,114 kW,24602.1,192473
GSEDS-1_Primary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,1750900,$245K,$0.00,$0M,549 kW,0,625980
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Restaurant,Atlanta,1,0 kWh,0 kW,0,265670,$32K,$0.00,$0M,71 kW,0,61610
General_Service_With_Demand_Meter_(Rate_Code_25),Supermarket,Minneapolis,1,0 kWh,0 kW,233660,1460940,$204K,$5.86,$0M,458 kW,22602,419010
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Fast Food,Atlanta,1,3 kWh,1 kW,38019.5,106175,$3K,$15.66,$0M,4 kW,1574.7,2933
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Medium Office,Anaheim,1,678 kWh,102 kW,559397,600770,$296K,$34.91,$0M,433 kW,350513,417666
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Primary School,Los Angeles,1,768 kWh,106 kW,491061,957089,$359K,$17.48,$0M,554 kW,331294,625877
Small_General_Service_Metered_(A10),Primary School,Duluth,1,0 kWh,0 kW,0,922888,$115K,$0.00,$0M,258 kW,0,256964
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Hospital,Boulder,1,327 kWh,111 kW,2573110,2661400,$136K,$18.90,$0M,128 kW,192630,60750
E-36_Standard_Price_Plan_for_General_Service,Restaurant,Phoenix,1,0 kWh,0 kW,36160,234074,$34K,$6.76,$0M,76 kW,2265.4,74696
OGS-TOU-NEM,Outpatient,LasVegas,1,0 kWh,0 kW,0,1004380,$180K,$0.00,$0M,405 kW,0,355996
BES-Small_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,206871,966539,$84K,$6.18,$0M,188 kW,9263,140522
Schedule_MDD_-_Medium_Network_General_Service,Restaurant,Seattle,1,0 kWh,0 kW,24913.5,229333,$23K,$4.54,$0M,52 kW,1171.4,38968
LGS-1_-_Large_General_Service,Fast Food,LasVegas,1,0 kWh,0 kW,31506.4,111681,$17K,$8.57,$0M,37 kW,541.7,33494.8
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Hospital,San Francisco,1,"6,229 kWh",815 kW,3809730,6661530,"$2,448K",$33.72,$2M,"3,494 kW",2270680,4231350
Large_Light_&_Power_-_Primary_voltage_discount,Hospital,Minneapolis,1,0 kWh,0 kW,0,4858930,$430K,$7.55,$0M,965 kW,0,728890
Small_General_Service_Metered_(A10),Outpatient,Duluth,1,0 kWh,0 kW,0,1443290,$175K,$0.00,$0M,393 kW,0,429290
GSLD-1_(General_Service_Large_Demand),Large Hotel,Miami,1,63 kWh,38 kW,817410,1393170,$28K,$12.56,$0M,11 kW,48635,6010
SC-9_-_General_Large_TOD_Service_[NYC],Hospital,New York,1,"11,284 kWh","1,234 kW",6818630,6538560,"$3,929K",$54.31,$2M,"5,455 kW",4681920,4360080
LGS-1_-_Large_General_Service,Retail Store,LasVegas,1,8 kWh,6 kW,119708,293177,$66K,$8.57,$0M,140 kW,16758,123345
3B_General_Power_TOU_(PNM-Owned_Transformer),Strip Mall,Albuquerque,1,144 kWh,37 kW,105109,283997,$105K,$17.47,$0M,170 kW,71092.9,165717
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Restaurant,San Francisco,1,211 kWh,28 kW,94332.4,354291,$85K,$17.58,$0M,122 kW,38752,219584
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Warehouse,Anaheim,1,141 kWh,21 kW,102242,134764,$63K,$30.87,$0M,94 kW,69603.8,91534.7
OGS-TOU-NEM,Midrise Apartment,LasVegas,1,0 kWh,0 kW,0,209594,$17K,$0.00,$0M,38 kW,0,33402
GSEDS-1_Primary_Non-Demand,Small Office,Helena,1,0 kWh,0 kW,0,74879.9,$11K,$0.00,$0M,26 kW,0,25277.7
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,914076,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Restaurant,Albuquerque,1,22 kWh,9 kW,19857.1,191308,$39K,$17.47,$0M,74 kW,14081.14,73203
OGS-TOU-NEM,Small Hotel,LasVegas,1,0 kWh,0 kW,0,445712,$54K,$0.00,$0M,122 kW,0,108258
GSDT-1_(General_Service_Demand_-Time-Of-Use),Restaurant,Miami,1,6 kWh,2 kW,84372.5,199877,$3K,$9.20,$0M,3 kW,2627,2196
