Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Secondary School,Phoenix,1,0 kWh,0 kW,662596,2630070,$365K,$6.65,$0M,664 kW,109415,639330
General_Service_(A14),Small Office,Duluth,1,0 kWh,0 kW,25882.6,44333.8,$1K,$14.98,$0M,3 kW,732.8,1750
Schedule_MDC_-_Medium_Standard_General_Service_City,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,138485,$0K,$2.32,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Primary School,Miami,1,0 kWh,0 kW,444645,634753,$66K,$10.60,$0M,119 kW,44332,73428
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Hospital,Atlanta,1,0 kWh,0 kW,0,6670950,$0K,$0.00,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Midrise Apartment,LasVegas,1,0 kWh,0 kW,60986.8,212614,$15K,$12.47,$0M,28 kW,884.2,25949
GSEDS-1_Primary_Non-Demand,Strip Mall,Helena,1,0 kWh,0 kW,0,447689,$81K,$0.00,$0M,147 kW,0,171286
GSEDS-1_Primary_Demand,Primary School,Helena,1,0 kWh,0 kW,201502,690168,$58K,$7.90,$0M,105 kW,21480,95872
Schedule_MDB-_Medium_Standard_General_Service_Burien,Secondary School,Seattle,1,0 kWh,0 kW,147362,1409630,$0K,$2.32,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Fast Food,Anaheim,1,15 kWh,5 kW,85655.6,129599,$30K,$38.02,$0M,44 kW,22025.3,49104.3
LGS-1_-_Large_General_Service,Restaurant,LasVegas,1,0 kWh,0 kW,58146.6,199867,$28K,$8.57,$0M,51 kW,1079.9,46266
BES-Large_Load_Delivery_Class_(Secondary),Retail Store,Chicago,1,0 kWh,0 kW,87511,312438,$0K,$6.73,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Small Office,San Francisco,1,0 kWh,0 kW,0,146561,$17K,$0.00,$0M,32 kW,0,65260.4
Small_General_Service_Metered_(A10),Outpatient,Duluth,1,0 kWh,0 kW,0,1443290,$187K,$0.00,$0M,340 kW,0,385640
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Medium Office,Anaheim,1,132 kWh,45 kW,559397,600770,$224K,$34.91,$0M,307 kW,217634,298394
BES-Medium_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1042890,3877110,$0K,$6.29,$0M,0 kW,0,0
2B_Small_Power_Service_-_TOU,Small Office,Albuquerque,1,0 kWh,0 kW,0,117324,$19K,$0.00,$0M,34 kW,0,67677.2
Schedule_G_-_Secondary,Small Office,Baltimore,1,0 kWh,0 kW,0,93798,$13K,$0.00,$0M,24 kW,0,28790.2
SC-9_-_General_Large_Low_Tension_Service_[NYC],Strip Mall,New York,1,0 kWh,0 kW,0,584002,$94K,$21.82,$0M,172 kW,0,237028
Small_General_Service_Metered_(A10),Fast Food,Duluth,1,0 kWh,0 kW,0,173296,$20K,$0.00,$0M,36 kW,0,41735
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Restaurant,Anaheim,1,21 kWh,7 kW,87251.5,317443,$56K,$13.20,$0M,85 kW,21060.7,137155
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Strip Mall,Anaheim,1,73 kWh,20 kW,278697,371964,$123K,$30.87,$0M,174 kW,107685,196417
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Secondary School,Atlanta,1,0 kWh,0 kW,0,2273550,$0K,$0.00,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Hotel,New York,1,0 kWh,0 kW,0,888102,$81K,$21.82,$0M,147 kW,0,201504
GSEDS-1_Secondary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,263264,$22K,$0.00,$0M,39 kW,0,52418
Schedule_GL_(Secondary_Voltage),Primary School,Baltimore,1,0 kWh,0 kW,186940,791190,$68K,$6.15,$0M,124 kW,21714,114240
E-36_Standard_Price_Plan_for_General_Service,Medium Office,Phoenix,1,0 kWh,0 kW,147275,603590,$96K,$6.76,$0M,174 kW,22738,162129
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Supermarket,Anaheim,1,158 kWh,48 kW,950263,1368300,$360K,$38.02,$0M,543 kW,268425,607654
BES-Small_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,941431,5216790,$0K,$6.18,$0M,0 kW,0,0
GSEDS-1_Secondary_Demand,Fast Food,Helena,1,0 kWh,0 kW,29785.4,131794,$18K,$9.41,$0M,32 kW,1115.1,30965
