midpoint_data
Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Demand Charge Savings ($),$38.02,144599.45
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Demand Charge Savings ($),$15.57,500398.25
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Demand Charge Savings ($),$36.38,262500.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Demand Charge Savings ($),$11.05,85121.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Demand Charge Savings ($),$34.91,264853.5
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Demand Charge Savings ($),$17.81,171495.25
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Demand Charge Savings ($),$9.97,16040.225
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Demand Charge Savings ($),$30.87,48001.2125
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Demand Charge Savings ($),$13.20,25387.0375
Small_General_Time-of-Day_Service_(A12),Demand Charge Savings ($),$0.00,0
Small_General_Service_Time-Of-Use_(A-1)(B),Demand Charge Savings ($),$7.48,3956.5
Small_General_Service_Metered_(A10),Demand Charge Savings ($),$0.00,0
Small_General_Service_(A-1)(A),Demand Charge Savings ($),$7.48,3854.7
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Demand Charge Savings ($),$4.84,6585.630833333
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Demand Charge Savings ($),$18.90,20831.53125
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Demand Charge Savings ($),$15.66,9714.98125
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Demand Charge Savings ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Demand Charge Savings ($),$0.00,0
Schedule_P,Demand Charge Savings ($),$5.31,24869
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Demand Charge Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Demand Charge Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Demand Charge Savings ($),$4.54,0
