Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Strip Mall,Anaheim,1,17 kWh,8 kW,278697,371964,$112K,$30.87,$0M,149 kW,79748,169956
A-6_Small_General_Service_TOU_Single_Phase,Secondary School,San Francisco,1,296 kWh,52 kW,0,5235560,$810K,$0.00,$1M,"1,038 kW",0,2904630
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Secondary School,Seattle,1,0 kWh,0 kW,147362,1458990,$0K,$2.32,$0M,0 kW,0,0
BES-Large_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,270862,1233140,$0K,$6.73,$0M,0 kW,0,0
SC-9_-_General_Large_Low_Tension_Service_[NYC],Primary School,New York,1,0 kWh,0 kW,0,1246530,$171K,$21.82,$0M,252 kW,0,330466
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Midrise Apartment,Anaheim,1,0 kWh,0 kW,54007.4,256311,$33K,$9.97,$0M,49 kW,2762.7,81755
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Outpatient,Atlanta,1,0 kWh,0 kW,374541,900645,$0K,$15.66,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1366060,$0K,$2.32,$0M,0 kW,0,0
GSLD-1_(General_Service_Large_Demand),Large Hotel,Miami,1,0 kWh,0 kW,817410,1393170,$0K,$12.56,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Small Office,Helena,1,0 kWh,0 kW,0,87748.2,$10K,$0.00,$0M,14 kW,0,18005.1
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Supermarket,Boulder,1,0 kWh,0 kW,184372,1683090,$278K,$4.84,$0M,410 kW,18965,528990
GSDT-1_(General_Service_Demand_-Time-Of-Use),Warehouse,Miami,1,0 kWh,0 kW,62506.2,90616.5,$0K,$9.20,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Hospital,Duluth,1,0 kWh,0 kW,0,7678270,$889K,$0.00,$0M,"1,310 kW",0,1560390
Schedule_MDC_-_Medium_Standard_General_Service_City,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,405061,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Outpatient,San Francisco,1,133 kWh,37 kW,515539,1652210,$358K,$17.58,$0M,442 kW,139846,862038
Large_Light_&_Power_-_Primary_voltage_discount,Midrise Apartment,Minneapolis,1,0 kWh,0 kW,0,154206,$0K,$7.55,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Retail Store,Helena,1,0 kWh,0 kW,101965,371241,$0K,$7.90,$0M,1 kW,107,571
Schedule_MDC_-_Medium_Standard_General_Service_City,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,512744,$0K,$2.32,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Primary School,Anaheim,1,65 kWh,24 kW,779879,777861,$241K,$34.91,$0M,305 kW,276853,298711
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Retail Store,Atlanta,1,0 kWh,0 kW,160886,313579,$0K,$15.66,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Warehouse,San Francisco,1,5 kWh,3 kW,63818.6,234781,$47K,$16.78,$0M,64 kW,15075.4,94920
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Strip Mall,Los Angeles,1,1 kWh,1 kW,201849,429969,$102K,$17.48,$0M,149 kW,48769,194258
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Midrise Apartment,San Francisco,1,0 kWh,0 kW,0,429769,$30K,$0.00,$0M,44 kW,0,105774
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Office,Anaheim,1,385 kWh,159 kW,2600780,6888430,"$1,837K",$15.57,$1M,"2,398 kW",603520,3686130
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,443467,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,203699,$0K,$2.32,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Retail Store,Minneapolis,1,0 kWh,0 kW,0,310972,$0K,$7.55,$0M,0 kW,0,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,0 kWh,0 kW,1605050,3077640,$254K,$17.47,$0M,374 kW,135410,319040
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Hospital,Seattle,1,0 kWh,0 kW,538955,5396450,$0K,$3.83,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Secondary School,Phoenix,1,0 kWh,0 kW,556743,2104310,$151K,$6.76,$0M,223 kW,41705,222510
E-36_Standard_Price_Plan_for_General_Service,Large Hotel,Phoenix,1,0 kWh,0 kW,306233,1795800,$0K,$6.76,$0M,0 kW,0,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,559841,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Secondary_Demand,Primary School,Helena,1,0 kWh,0 kW,240096,705132,$47K,$9.41,$0M,69 kW,20351,66846
Large_Light_&_Power_-_Primary_voltage_discount,Outpatient,Minneapolis,1,0 kWh,0 kW,0,912781,$0K,$7.55,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Fast Food,Anaheim,1,2 kWh,1 kW,45009.8,167767,$29K,$13.20,$0M,41 kW,5679.7,66987
Schedule_G_-_Secondary,Primary School,Baltimore,1,0 kWh,0 kW,0,1173900,$111K,$0.00,$0M,163 kW,0,213486
BES-Large_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,560689,1563540,$0K,$6.73,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Supermarket,Phoenix,1,0 kWh,0 kW,200579,1234930,$50K,$6.76,$0M,74 kW,9550,74740
GSEDS-1_Secondary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2456510,$205K,$0.00,$0M,302 kW,0,396380
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Warehouse,Atlanta,1,0 kWh,0 kW,74485.3,119400,$0K,$15.66,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Retail Store,Boulder,1,0 kWh,0 kW,216125,162045,$0K,$18.90,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Strip Mall,Boulder,1,0 kWh,0 kW,60066.8,418864,$81K,$4.84,$0M,119 kW,5254.5,150340
Schedule_LGC_-_Large_Standard_General_Service_City,Hospital,Seattle,1,0 kWh,0 kW,316801,4529750,$0K,$2.08,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Warehouse,Fairbanks,1,0 kWh,0 kW,80198.2,458799,$57K,$11.06,$0M,84 kW,4674.4,108650
Power_and_Light_Medium_Schedule_PLM-11,Fast Food,Atlanta,1,0 kWh,0 kW,0,85605.1,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,885550,$0K,$2.32,$0M,0 kW,0,0
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Outpatient,LasVegas,1,0 kWh,0 kW,343823,881705,$10K,$16.49,$0M,14 kW,4538,12021
GSEDS-1_Primary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,165276,$22K,$0.00,$0M,33 kW,0,39543
OGS-TOU-NEM,Warehouse,LasVegas,1,0 kWh,0 kW,0,143814,$0K,$0.00,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,1036240,$95K,$0.00,$0M,140 kW,0,184747
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Office,San Francisco,1,11 kWh,3 kW,35515.9,98327.6,$26K,$17.58,$0M,31 kW,12350.7,56648.6
3B_General_Power_TOU_(PNM-Owned_Transformer),Restaurant,Albuquerque,1,0 kWh,0 kW,19857.1,191308,$3K,$17.47,$0M,4 kW,500.8,4001
Schedule_GL_(Secondary_Voltage),Medium Office,Baltimore,1,0 kWh,0 kW,182440,694358,$0K,$6.15,$0M,0 kW,0,0
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Restaurant,Phoenix,1,0 kWh,0 kW,46990.3,264101,$15K,$6.65,$0M,22 kW,1715.5,23694
LGS-1_-_Large_General_Service,Large Office,LasVegas,1,0 kWh,0 kW,1443400,3637550,$0K,$8.57,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Retail Store,Baltimore,1,0 kWh,0 kW,81945,376143,$1K,$6.15,$0M,1 kW,151.8,986
Schedule_MDD_-_Medium_Network_General_Service,Small Hotel,Seattle,1,0 kWh,0 kW,66035.6,499275,$0K,$4.54,$0M,0 kW,0,0
Power_and_Light_Medium_Schedule_PLM-11,Strip Mall,Atlanta,1,0 kWh,0 kW,0,229645,$0K,$0.00,$0M,0 kW,0,0
General_Service_(A14),Small Hotel,Duluth,1,0 kWh,0 kW,191137,398209,$0K,$14.98,$0M,0 kW,0,0
